# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "--countReadPairs" "-F" "GFF" "-t" "gene" "-g" "locus_tag" "-a" "ref/GCF_000750555.1_ASM75055v1_genomic.gff" "-o" "counts/gene_counts.txt" "bam/SRR13970433.sorted.bam" "bam/SRR13970434.sorted.bam" "bam/SRR13970441.sorted.bam" "bam/SRR13970442.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/SRR13970433.sorted.bam	bam/SRR13970434.sorted.bam	bam/SRR13970441.sorted.bam	bam/SRR13970442.sorted.bam
BW25113_RS00315	NZ_CP009273.1	66874	67752	+	879	18	15	14	11
BW25113_RS00320	NZ_CP009273.1	67838	68602	+	765	25	29	21	22
BW25113_RS00325	NZ_CP009273.1	68716	69414	-	699	20	8	10	13
BW25113_RS00330	NZ_CP009273.1	69398	71008	-	1611	16	19	11	13
BW25113_RS00335	NZ_CP009273.1	70984	71967	-	984	20	18	13	11
BW25113_RS00340	NZ_CP009273.1	72131	73786	-	1656	24	36	28	24
BW25113_RS00345	NZ_CP009273.1	73875	74006	+	132	3	2	2	2
BW25113_RS00350	NZ_CP009273.1	74108	75286	+	1179	20	14	13	11
BW25113_RS00355	NZ_CP009273.1	75335	75940	-	606	10	15	10	11
BW25113_RS00360	NZ_CP009273.1	75951	77351	-	1401	14	12	20	17
BW25113_RS00365	NZ_CP009273.1	77354	78445	-	1092	15	18	14	11
BW25113_RS00370	NZ_CP009273.1	78445	80016	-	1572	20	21	27	32
BW25113_RS00375	NZ_CP009273.1	80109	80195	-	87	1	1	2	2
BW25113_RS00380	NZ_CP009273.1	80855	81799	+	945	9	18	9	10
BW25113_RS25405	NZ_CP009273.1	81954	81998	-	45	0	0	1	1
BW25113_RS00385	NZ_CP009273.1	82117	83841	+	1725	25	24	32	28
BW25113_RS00390	NZ_CP009273.1	83844	84335	+	492	6	8	6	8
BW25113_RS00395	NZ_CP009273.1	84347	84433	+	87	0	0	3	0
BW25113_RS00400	NZ_CP009273.1	84515	85519	+	1005	73	70	89	79
BW25113_RS00405	NZ_CP009273.1	86121	86579	+	459	57	52	42	45
BW25113_RS00410	NZ_CP009273.1	86581	87522	+	942	108	85	93	84
BW25113_RS00415	NZ_CP009273.1	87519	87884	+	366	27	21	16	14
BW25113_RS00420	NZ_CP009273.1	87900	89666	+	1767	81	64	78	68
BW25113_RS00425	NZ_CP009273.1	89653	91140	+	1488	103	116	80	76
BW25113_RS00430	NZ_CP009273.1	91137	92495	+	1359	100	95	88	77
BW25113_RS00435	NZ_CP009273.1	92489	93571	+	1083	64	57	51	71
BW25113_RS00440	NZ_CP009273.1	93574	94890	+	1317	88	94	74	93
BW25113_RS00445	NZ_CP009273.1	94890	96134	+	1245	105	91	127	100
BW25113_RS00450	NZ_CP009273.1	96131	97198	+	1068	85	109	74	93
BW25113_RS00455	NZ_CP009273.1	97252	98727	+	1476	129	126	100	119
BW25113_RS00460	NZ_CP009273.1	98720	99640	+	921	103	106	83	79
BW25113_RS00465	NZ_CP009273.1	99642	100472	+	831	138	137	103	95
BW25113_RS00470	NZ_CP009273.1	100469	101731	+	1263	181	177	160	182
BW25113_RS00475	NZ_CP009273.1	101792	102943	+	1152	320	272	251	228
BW25113_RS00480	NZ_CP009273.1	103044	103961	+	918	439	435	357	372
BW25113_RS00485	NZ_CP009273.1	104192	104704	+	513	68	71	80	61
BW25113_RS00490	NZ_CP009273.1	104766	107471	+	2706	476	487	311	344
BW25113_RS00495	NZ_CP009273.1	107531	107920	+	390	9	14	11	16
BW25113_RS00505	NZ_CP009273.1	108136	108333	-	198	19	11	16	5
BW25113_RS00510	NZ_CP009273.1	108343	109086	-	744	38	35	23	21
BW25113_RS00515	NZ_CP009273.1	109086	109706	-	621	22	17	17	13
BW25113_RS25965	NZ_CP009273.1	109731	109775	+	45	0	1	1	0
BW25113_RS00520	NZ_CP009273.1	109931	110974	+	1044	20	39	32	38
BW25113_RS00525	NZ_CP009273.1	111009	112211	-	1203	18	23	22	20
BW25113_RS00530	NZ_CP009273.1	112201	113586	-	1386	23	24	22	21
BW25113_RS00535	NZ_CP009273.1	113596	114036	-	441	4	5	3	6
BW25113_RS00545	NZ_CP009273.1	114239	115132	-	894	24	34	25	33
BW25113_RS00550	NZ_CP009273.1	115220	115771	+	552	24	17	15	11
BW25113_RS00555	NZ_CP009273.1	115768	116622	+	855	32	29	20	35
BW25113_RS00560	NZ_CP009273.1	116665	118038	-	1374	26	33	28	31
BW25113_RS00565	NZ_CP009273.1	118579	119343	+	765	46	63	160	162
BW25113_RS00570	NZ_CP009273.1	119504	122167	+	2664	722	713	2363	2348
BW25113_RS00575	NZ_CP009273.1	122182	124074	+	1893	385	350	872	824
BW25113_RS00580	NZ_CP009273.1	124399	125823	+	1425	605	568	643	652
BW25113_RS00585	NZ_CP009273.1	125894	127747	-	1854	17	22	21	28
BW25113_RS00590	NZ_CP009273.1	128102	130699	+	2598	777	730	487	509
BW25113_RS00595	NZ_CP009273.1	130875	131237	+	363	40	32	25	25
BW25113_RS00600	NZ_CP009273.1	131275	132069	-	795	35	41	57	53
BW25113_RS00605	NZ_CP009273.1	132085	132951	-	867	60	64	65	61
BW25113_RS00610	NZ_CP009273.1	133057	133404	-	348	22	15	11	16
BW25113_RS00615	NZ_CP009273.1	133570	135120	+	1551	40	40	39	46
BW25113_RS00620	NZ_CP009273.1	135322	137712	-	2391	80	97	81	96
BW25113_RS00625	NZ_CP009273.1	137918	138454	+	537	31	26	24	28
BW25113_RS00630	NZ_CP009273.1	138495	139157	-	663	70	66	68	65
BW25113_RS00635	NZ_CP009273.1	139266	140192	+	927	62	59	77	61
BW25113_RS00640	NZ_CP009273.1	140189	140959	+	771	24	29	47	28
BW25113_RS00645	NZ_CP009273.1	141064	141504	+	441	15	10	9	7
BW25113_RS00650	NZ_CP009273.1	141568	142797	+	1230	21	28	22	17
BW25113_RS00655	NZ_CP009273.1	142801	143181	-	381	28	27	29	33
BW25113_RS00660	NZ_CP009273.1	143455	144357	+	903	18	13	21	19
BW25113_RS00665	NZ_CP009273.1	144431	145282	-	852	63	60	59	45
BW25113_RS00670	NZ_CP009273.1	145294	146088	-	795	45	49	50	29
BW25113_RS00675	NZ_CP009273.1	146202	147452	-	1251	0	1	1	5
BW25113_RS00680	NZ_CP009273.1	147490	148086	-	597	3	2	2	3
BW25113_RS00685	NZ_CP009273.1	148113	148718	-	606	2	2	1	4
BW25113_RS00690	NZ_CP009273.1	148730	149299	-	570	4	2	5	2
BW25113_RS00695	NZ_CP009273.1	149316	151913	-	2598	18	23	16	18
BW25113_RS00700	NZ_CP009273.1	151948	152688	-	741	15	5	4	4
BW25113_RS00705	NZ_CP009273.1	152786	153370	-	585	7	8	3	2
BW25113_RS00710	NZ_CP009273.1	153740	154219	-	480	12	9	7	7
BW25113_RS00715	NZ_CP009273.1	154216	155613	-	1398	63	53	41	43
BW25113_RS00720	NZ_CP009273.1	155673	156569	-	897	13	13	11	13
BW25113_RS00725	NZ_CP009273.1	156636	157091	-	456	165	149	125	144
BW25113_RS00730	NZ_CP009273.1	157269	157973	-	705	103	120	99	94
BW25113_RS00735	NZ_CP009273.1	157988	158518	-	531	8	12	6	6
BW25113_RS00740	NZ_CP009273.1	158592	161021	+	2430	52	42	32	20
BW25113_RS00750	NZ_CP009273.1	161217	163751	+	2535	56	68	65	59
BW25113_RS00755	NZ_CP009273.1	163971	166214	+	2244	51	50	46	45
BW25113_RS00760	NZ_CP009273.1	166265	167062	+	798	14	9	7	6
BW25113_RS00765	NZ_CP009273.1	167062	167952	+	891	8	11	7	15
BW25113_RS00770	NZ_CP009273.1	167949	169931	+	1983	19	8	13	17
BW25113_RS00775	NZ_CP009273.1	170089	171369	-	1281	67	76	59	59
BW25113_RS26045	NZ_CP009273.1	171535	171582	+	48	3	2	3	2
BW25113_RS00780	NZ_CP009273.1	171594	173015	+	1422	41	34	34	31
BW25113_RS25410	NZ_CP009273.1	173039	173104	+	66	3	1	2	2
BW25113_RS00785	NZ_CP009273.1	173097	173441	+	345	17	18	21	14
BW25113_RS00790	NZ_CP009273.1	173488	174111	-	624	12	11	7	18
BW25113_RS00795	NZ_CP009273.1	174149	174949	-	801	13	15	13	17
BW25113_RS00800	NZ_CP009273.1	174942	175640	-	699	44	30	31	30
BW25113_RS00805	NZ_CP009273.1	175724	177241	+	1518	40	29	37	22
BW25113_RS00810	NZ_CP009273.1	177371	178795	+	1425	323	304	103	121
BW25113_RS00815	NZ_CP009273.1	178950	180107	+	1158	51	51	40	37
BW25113_RS00820	NZ_CP009273.1	180196	180582	-	387	37	47	41	36
BW25113_RS00825	NZ_CP009273.1	180744	181556	-	813	12	14	11	6
BW25113_RS00830	NZ_CP009273.1	181610	182434	-	825	59	58	80	80
BW25113_RS00835	NZ_CP009273.1	182465	185137	-	2673	60	50	76	45
BW25113_RS00840	NZ_CP009273.1	185199	185993	-	795	66	62	78	70
BW25113_RS00845	NZ_CP009273.1	186361	187086	+	726	1250	1209	1040	1031
BW25113_RS00850	NZ_CP009273.1	187344	188195	+	852	527	557	484	420
BW25113_RS00855	NZ_CP009273.1	188342	189067	+	726	103	90	129	122
BW25113_RS00860	NZ_CP009273.1	189359	189916	+	558	201	194	187	206
BW25113_RS00865	NZ_CP009273.1	190008	191204	+	1197	76	54	58	53
BW25113_RS00870	NZ_CP009273.1	191393	192151	+	759	124	120	98	87
BW25113_RS00875	NZ_CP009273.1	192164	193021	+	858	90	103	97	109
BW25113_RS00880	NZ_CP009273.1	193033	194385	+	1353	258	241	165	176
BW25113_RS00885	NZ_CP009273.1	194415	196847	+	2433	675	696	614	625
BW25113_RS00890	NZ_CP009273.1	196969	197454	+	486	178	174	185	184
BW25113_RS00895	NZ_CP009273.1	197458	198483	+	1026	208	200	239	196
BW25113_RS00900	NZ_CP009273.1	198588	199043	+	456	61	69	72	60
BW25113_RS00905	NZ_CP009273.1	199047	199835	+	789	72	59	88	62
BW25113_RS00910	NZ_CP009273.1	199835	200983	+	1149	51	43	37	33
BW25113_RS00915	NZ_CP009273.1	200980	201576	+	597	28	23	21	24
BW25113_RS00920	NZ_CP009273.1	201613	205095	+	3483	159	163	143	140
BW25113_RS00925	NZ_CP009273.1	205108	206067	+	960	84	93	100	100
BW25113_RS00930	NZ_CP009273.1	206166	208307	+	2142	40	59	39	37
BW25113_RS00935	NZ_CP009273.1	208364	208753	+	390	7	5	11	4
BW25113_RS00940	NZ_CP009273.1	208818	210116	+	1299	28	34	34	31
BW25113_RS00945	NZ_CP009273.1	210165	210425	-	261	12	16	13	22
BW25113_RS00950	NZ_CP009273.1	210412	210612	-	201	28	18	25	14
BW25113_RS00955	NZ_CP009273.1	210778	211323	+	546	22	22	21	29
BW25113_RS00960	NZ_CP009273.1	211320	211742	+	423	26	18	20	26
BW25113_RS00965	NZ_CP009273.1	211756	212466	+	711	37	41	33	35
BW25113_RS00970	NZ_CP009273.1	212666	213490	-	825	21	20	13	16
BW25113_RS00975	NZ_CP009273.1	213544	215262	-	1719	135	129	115	96
BW25113_RS00980	NZ_CP009273.1	215374	216081	-	708	14	24	21	21
BW25113_RS00985	NZ_CP009273.1	216078	216482	-	405	25	19	18	14
BW25113_RS00990	NZ_CP009273.1	216600	217415	-	816	31	22	38	30
BW25113_RS00995	NZ_CP009273.1	217455	218108	-	654	10	18	9	6
BW25113_RS01000	NZ_CP009273.1	218101	219132	-	1032	16	16	18	22
BW25113_RS01005	NZ_CP009273.1	219320	219895	+	576	34	24	16	24
BW25113_RS01010	NZ_CP009273.1	220258	221799	+	1542	6390	6412	5200	5130
BW25113_RS01015	NZ_CP009273.1	221868	221944	+	77	0	1	0	0
BW25113_RS01020	NZ_CP009273.1	221987	222062	+	76	2	2	4	2
BW25113_RS01025	NZ_CP009273.1	222246	225149	+	2904	45539	45446	40018	39019
BW25113_RS01030	NZ_CP009273.1	225245	225360	+	116	6	7	2	7
BW25113_RS01035	NZ_CP009273.1	225415	225491	+	77	5	2	0	2
BW25113_RS01040	NZ_CP009273.1	225654	226457	+	804	15	15	10	6
BW25113_RS01045	NZ_CP009273.1	226454	227368	-	915	13	23	16	23
BW25113_RS01050	NZ_CP009273.1	227609	228409	+	801	35	21	23	31
BW25113_RS01055	NZ_CP009273.1	228413	229036	+	624	10	22	10	14
BW25113_RS01060	NZ_CP009273.1	229084	230442	-	1359	99	71	64	71
BW25113_RS01065	NZ_CP009273.1	230514	231269	-	756	17	11	19	16
BW25113_RS01070	NZ_CP009273.1	231303	232025	+	723	18	32	15	13
BW25113_RS01075	NZ_CP009273.1	232022	232489	-	468	17	16	14	14
BW25113_RS01080	NZ_CP009273.1	232554	233285	+	732	14	12	12	13
BW25113_RS01085	NZ_CP009273.1	233418	233494	+	77	2	1	1	0
BW25113_RS01090	NZ_CP009273.1	233822	234607	+	786	9	2	6	9
BW25113_RS01095	NZ_CP009273.1	234744	235223	-	480	0	2	0	1
BW25113_RS01110	NZ_CP009273.1	235906	236676	-	771	16	20	14	17
BW25113_RS01115	NZ_CP009273.1	236857	237303	+	447	10	18	10	10
BW25113_RS01120	NZ_CP009273.1	237346	239790	-	2445	143	145	124	119
BW25113_RS01125	NZ_CP009273.1	240030	240608	+	579	27	30	37	30
BW25113_RS01130	NZ_CP009273.1	240814	241581	+	768	34	42	27	29
BW25113_RS01135	NZ_CP009273.1	241552	242292	-	741	45	52	34	35
BW25113_RS01140	NZ_CP009273.1	242448	242726	-	279	6	3	8	3
BW25113_RS01145	NZ_CP009273.1	242729	242989	-	261	11	11	4	10
BW25113_RS01150	NZ_CP009273.1	243199	243948	+	750	3	4	1	2
BW25113_RS01155	NZ_CP009273.1	244124	244621	+	498	10	8	2	7
BW25113_RS01165	NZ_CP009273.1	246529	247314	+	786	11	7	8	4
BW25113_RS01170	NZ_CP009273.1	247385	248440	+	1056	16	18	12	16
BW25113_RS01175	NZ_CP009273.1	248492	248785	+	294	2	7	3	4
BW25113_RS01180	NZ_CP009273.1	248788	249186	+	399	7	8	4	6
BW25113_RS01185	NZ_CP009273.1	249196	249648	+	453	4	4	3	2
BW25113_RS01200	NZ_CP009273.1	250746	252203	-	1458	288	248	241	235
BW25113_RS01205	NZ_CP009273.1	252464	252922	+	459	13	21	10	11
BW25113_RS01210	NZ_CP009273.1	253014	254258	+	1245	36	32	29	25
BW25113_RS01215	NZ_CP009273.1	254316	254717	+	402	32	27	26	28
BW25113_RS01220	NZ_CP009273.1	254756	255811	-	1056	14	14	16	14
BW25113_RS01225	NZ_CP009273.1	256099	257202	+	1104	54	40	54	53
BW25113_RS01230	NZ_CP009273.1	257214	258467	+	1254	53	48	48	52
BW25113_RS01235	NZ_CP009273.1	258582	258657	+	76	8	9	12	8
BW25113_RS01240	NZ_CP009273.1	259039	259380	-	342	8	7	1	6
BW25113_RS01245	NZ_CP009273.1	259401	259718	-	318	5	6	1	2
BW25113_RS23240	NZ_CP009273.1	259737	259958	-	222	2	2	4	3
BW25113_RS01250	NZ_CP009273.1	259967	260443	-	477	3	5	2	2
BW25113_RS01255	NZ_CP009273.1	260459	260917	-	459	14	12	7	13
BW25113_RS01260	NZ_CP009273.1	261015	261254	-	240	4	5	4	4
BW25113_RS01265	NZ_CP009273.1	261331	261798	-	468	8	6	13	7
BW25113_RS25425	NZ_CP009273.1	261821	262264	-	444	1	3	5	5
BW25113_RS25430	NZ_CP009273.1	262264	262503	-	240	0	1	2	0
BW25113_RS01280	NZ_CP009273.1	262895	263716	-	822	4	2	2	0
BW25113_RS01285	NZ_CP009273.1	263808	264671	-	864	7	1	3	2
BW25113_RS01290	NZ_CP009273.1	265000	265893	-	894	1	4	1	0
BW25113_RS01300	NZ_CP009273.1	266314	267465	+	1152	13	15	7	5
BW25113_RS01325	NZ_CP009273.1	269812	270792	-	981	0	0	0	1
BW25113_RS01330	NZ_CP009273.1	271036	272439	+	1404	2	1	2	1
BW25113_RS01335	NZ_CP009273.1	272426	273358	+	933	8	18	10	10
BW25113_RS01340	NZ_CP009273.1	273467	274513	-	1047	4	0	0	0
BW25113_RS01350	NZ_CP009273.1	274889	275586	-	698	0	0	1	1
BW25113_RS01365	NZ_CP009273.1	276096	276446	-	351	3	1	2	1
BW25113_RS01370	NZ_CP009273.1	276540	277682	-	1143	0	0	1	1
BW25113_RS01375	NZ_CP009273.1	277989	278897	+	909	41	37	21	28
BW25113_RS01380	NZ_CP009273.1	278912	280879	+	1968	44	56	24	22
BW25113_RS01385	NZ_CP009273.1	281106	282488	+	1383	2	1	1	1
BW25113_RS01390	NZ_CP009273.1	282500	284110	+	1611	2	6	4	6
BW25113_RS01395	NZ_CP009273.1	284115	284873	-	759	2	4	6	7
BW25113_RS01400	NZ_CP009273.1	285012	286016	-	1005	16	15	7	14
BW25113_RS26055	NZ_CP009273.1	285986	286081	-	96	0	0	0	0
BW25113_RS01405	NZ_CP009273.1	286360	287057	-	698	4	0	1	1
BW25113_RS01410	NZ_CP009273.1	287211	287942	+	732	2	4	7	2
BW25113_RS01415	NZ_CP009273.1	288033	288659	-	627	2	1	1	4
BW25113_RS01420	NZ_CP009273.1	288931	289629	-	699	0	0	2	3
BW25113_RS01425	NZ_CP009273.1	289656	290510	-	855	0	0	1	0
BW25113_RS01430	NZ_CP009273.1	290629	290853	-	225	1	0	0	0
BW25113_RS01435	NZ_CP009273.1	290850	291290	-	441	2	4	2	1
BW25113_RS01440	NZ_CP009273.1	291407	292807	-	1401	10	7	9	11
BW25113_RS01455	NZ_CP009273.1	293481	294437	-	957	19	8	13	17
BW25113_RS01460	NZ_CP009273.1	294447	296645	-	2199	17	22	17	14
BW25113_RS01465	NZ_CP009273.1	296642	297598	-	957	9	9	8	8
BW25113_RS01470	NZ_CP009273.1	297595	298284	-	690	10	11	9	7
BW25113_RS01475	NZ_CP009273.1	298702	299316	+	615	12	12	16	6
BW25113_RS01480	NZ_CP009273.1	299564	299893	-	330	8	5	5	6
BW25113_RS01485	NZ_CP009273.1	300206	300916	-	711	6	11	4	9
BW25113_RS01490	NZ_CP009273.1	300885	302528	-	1644	26	22	19	21
BW25113_RS01495	NZ_CP009273.1	302518	305043	-	2526	31	27	26	20
BW25113_RS01500	NZ_CP009273.1	305069	305737	-	669	5	6	6	10
BW25113_RS01505	NZ_CP009273.1	305795	306382	-	588	10	8	5	8
BW25113_RS01510	NZ_CP009273.1	306457	306999	-	543	3	5	3	3
BW25113_RS01515	NZ_CP009273.1	307823	308050	+	228	4	3	0	1
BW25113_RS01520	NZ_CP009273.1	308085	308225	-	141	1	1	0	2
BW25113_RS01525	NZ_CP009273.1	308225	308488	-	264	6	5	1	1
BW25113_RS26450	NZ_CP009273.1	308852	308953	-	102	2	2	0	1
BW25113_RS01545	NZ_CP009273.1	311002	312164	+	1163	4	0	1	0
BW25113_RS01555	NZ_CP009273.1	313437	314030	-	594	5	6	5	5
BW25113_RS01560	NZ_CP009273.1	314042	314278	-	237	2	2	1	1
BW25113_RS01565	NZ_CP009273.1	314387	315712	-	1326	22	16	17	13
BW25113_RS01570	NZ_CP009273.1	315938	316792	+	855	7	8	3	8
BW25113_RS01575	NZ_CP009273.1	317319	318038	+	720	30	24	7	14
BW25113_RS01580	NZ_CP009273.1	318049	319476	+	1428	67	61	30	32
BW25113_RS01585	NZ_CP009273.1	319469	320164	+	696	40	34	11	22
BW25113_RS01595	NZ_CP009273.1	320407	321075	-	669	5	7	5	5
BW25113_RS01600	NZ_CP009273.1	321288	322958	-	1671	40	36	32	40
BW25113_RS01605	NZ_CP009273.1	322972	324444	-	1473	59	83	68	60
BW25113_RS01610	NZ_CP009273.1	324458	325045	-	588	39	40	33	32
BW25113_RS01615	NZ_CP009273.1	325174	327207	+	2034	122	106	68	91
BW25113_RS25450	NZ_CP009273.1	327513	327587	+	75	1	2	1	3
BW25113_RS01625	NZ_CP009273.1	328082	329170	+	1089	22	21	19	20
BW25113_RS01630	NZ_CP009273.1	329212	330144	-	933	13	18	11	11
BW25113_RS01635	NZ_CP009273.1	330236	330733	-	498	1	5	6	6
BW25113_RS01640	NZ_CP009273.1	330991	331596	+	606	3	6	6	2
BW25113_RS01645	NZ_CP009273.1	331636	332499	+	864	6	9	9	10
BW25113_RS01650	NZ_CP009273.1	332489	334036	+	1548	18	12	15	15
BW25113_RS01655	NZ_CP009273.1	334036	335454	+	1419	6	13	18	8
BW25113_RS01660	NZ_CP009273.1	335504	335800	+	297	3	7	4	2
BW25113_RS01665	NZ_CP009273.1	335876	336826	+	951	15	10	7	5
BW25113_RS01670	NZ_CP009273.1	336836	338218	+	1383	19	19	18	15
BW25113_RS01675	NZ_CP009273.1	338595	339644	+	1050	22	23	18	11
BW25113_RS01680	NZ_CP009273.1	339887	340702	+	816	5	11	11	6
BW25113_RS01685	NZ_CP009273.1	341115	341360	+	246	6	5	3	5
BW25113_RS01690	NZ_CP009273.1	341377	342048	-	672	18	8	21	10
BW25113_RS01695	NZ_CP009273.1	342195	342470	+	276	9	8	7	4
BW25113_RS01700	NZ_CP009273.1	342568	344154	-	1587	16	18	18	11
BW25113_RS01705	NZ_CP009273.1	344393	345283	+	891	11	16	4	9
BW25113_RS01710	NZ_CP009273.1	345723	346892	+	1170	10	22	6	10
BW25113_RS01715	NZ_CP009273.1	346926	348377	+	1452	14	16	6	18
BW25113_RS01720	NZ_CP009273.1	348417	350303	+	1887	19	16	12	14
BW25113_RS01725	NZ_CP009273.1	350633	351892	+	1260	21	13	15	22
BW25113_RS01730	NZ_CP009273.1	351882	353165	+	1284	31	25	24	31
BW25113_RS01735	NZ_CP009273.1	353502	354401	-	900	10	9	13	11
BW25113_RS01740	NZ_CP009273.1	354510	355169	+	660	6	8	6	2
BW25113_RS01745	NZ_CP009273.1	355200	355670	+	471	3	1	5	4
BW25113_RS01750	NZ_CP009273.1	355676	356857	+	1182	14	14	10	12
BW25113_RS01755	NZ_CP009273.1	356960	357571	-	612	6	5	2	8
BW25113_RS01760	NZ_CP009273.1	357637	358890	-	1254	12	4	10	5
BW25113_RS01775	NZ_CP009273.1	360661	361743	-	1083	220	213	207	221
BW25113_RS01780	NZ_CP009273.1	361820	362653	-	834	27	39	24	13
BW25113_RS01785	NZ_CP009273.1	362844	364508	+	1665	13	19	16	15
BW25113_RS01790	NZ_CP009273.1	364510	365454	+	945	13	15	8	13
BW25113_RS01800	NZ_CP009273.1	366055	367206	+	1152	5	3	1	3
BW25113_RS01810	NZ_CP009273.1	367571	368380	+	810	36	35	27	23
BW25113_RS01815	NZ_CP009273.1	368377	369327	+	951	25	15	22	27
BW25113_RS01820	NZ_CP009273.1	369324	370337	+	1014	20	22	15	26
